Phylostratum	GeneID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B32	B33	B34
0.7404580152671757	B4U62_13160	6048	6881	5620	2444	2954	2599	7032	4165	6201	6787	6223	5630	5808	6121	4907	4534	3771	5756	3669	2855	3365	6018	531	673	1964	2814	5436	326	287	247	312
0.7404580152671757	B4U62_13165	8065	8476	7027	3859	3489	3330	8451	5439	6061	22449	23280	18031	27132	35755	26126	23615	24562	38188	26904	25233	27966	74591	8426	10464	39552	32288	73597	8397	6591	6686	6957
0.7404580152671757	B4U62_13170	19529	19951	16755	8658	8500	7975	14690	10325	14786	50209	47959	38245	63695	79170	60134	49173	51692	79865	61689	47915	55097	160162	10361	11212	49961	57624	131506	6508	11286	10465	12872
0.7404580152671757	B4U62_13175	5971	6079	5289	2297	2087	2307	4610	3307	4315	4413	4250	4385	3058	2486	2294	2980	2739	3870	2147	1257	1433	2225	39	44	115	753	667	35	63	83	86
0.7404580152671757	B4U62_13180	55	57	48	48	33	45	68	50	71	4142	4145	3884	7541	7720	5414	6490	5909	8706	4785	3436	3826	7278	298	179	155	492	571	33	399	235	450
0.7404580152671757	B4U62_13185	20	16	17	23	13	17	24	19	24	1154	1250	1124	2325	2631	1710	2850	2265	3449	2232	1911	2119	3924	206	152	75	169	190	6	26	42	68
0.8730048577376821	B4U62_13190	12	4	11	12	13	4	11	15	19	974	1207	1056	2464	2763	1721	2036	1980	2677	1947	1291	1582	2616	195	102	39	147	131	10	44	35	80
0.7404580152671757	B4U62_13195	26	28	19	34	25	26	42	23	31	746	718	685	1692	1771	1308	1622	1406	2208	1662	1345	1333	2887	416	373	97	186	206	12	92	73	161
0.7404580152671757	B4U62_13200	4	6	6	8	5	3	4	1	1	113	176	145	300	390	247	370	337	509	253	261	307	529	43	24	10	30	33	1	7	4	21
0.7404580152671757	B4U62_13205	1	2	3	4	1	2	5	5	2	76	91	58	90	159	107	174	155	261	109	58	55	199	3	2	4	8	18	0	2	0	29
0.7404580152671757	B4U62_13210	3	3	1	13	9	5	7	10	6	278	314	260	480	537	423	749	625	1002	564	416	461	972	130	162	27	48	66	4	7	13	21
0.7404580152671757	B4U62_13215	9	12	11	14	6	11	12	11	16	1183	1393	1120	2390	2669	1810	2989	2856	3956	2697	2155	2248	4166	514	524	143	222	236	7	46	27	109
0.8945176960444137	B4U62_13220	7	8	5	7	4	6	3	3	7	76	115	76	146	166	112	187	143	244	161	145	123	173	22	18	10	20	22	0	8	9	72
0.7404580152671757	B4U62_13225	15117	16978	14093	8913	8644	8589	11052	7382	11361	11439	9624	9950	8277	6084	5594	5725	4425	7088	5348	2838	4000	6012	210	246	663	2410	2465	184	2764	2090	3398
0.7404580152671757	B4U62_13230	18474	20096	16469	13048	10906	10946	12868	9131	14369	16341	14274	13308	12657	10021	8599	9788	8174	12943	9574	5417	6676	11615	1287	1382	1899	5100	4820	255	4404	3329	5408
0.7404580152671757	B4U62_13235	3490	3495	2868	2146	2036	1965	2941	2025	3400	4534	3995	3522	3641	3005	2614	2899	2096	3509	3120	1756	1992	3010	379	462	689	1544	1658	96	388	323	458
0.8730048577376821	B4U62_13240	53	48	47	13	25	9	32	17	20	251	229	199	564	526	368	506	444	652	361	403	374	481	34	28	95	102	165	17	7	26	39
0.7404580152671757	B4U62_13245	4394	5189	3958	3085	3086	2858	4336	3052	4654	14827	12306	11683	32428	26975	21465	17952	16095	22573	17890	14381	15693	22955	3278	4414	12704	14866	28394	1965	5709	5101	5875
0.8945176960444137	B4U62_13250	1181	1377	1093	1389	958	1393	1049	770	1085	3068	2701	2733	6308	5007	4858	3830	3981	4852	3903	3060	3312	5477	778	775	2385	2870	5247	325	1734	1615	1627
0.7404580152671757	B4U62_13255	268	313	267	131	168	131	330	220	320	1460	1408	1307	2289	2494	1927	1973	2038	2932	2310	1878	1745	2215	190	271	153	348	321	15	140	137	285
0.7404580152671757	B4U62_13260	11840	14779	11104	2925	5981	5054	9391	5567	8514	8063	7316	8561	5584	4958	3967	3893	3675	5270	2794	1551	2053	2351	38	31	253	1193	1306	95	303	272	339
0.7404580152671757	B4U62_13265	2721	2949	2320	1032	1064	1019	1453	913	1584	1575	1268	1240	1041	984	753	838	671	1045	959	548	587	653	49	43	96	367	375	16	177	138	202
0.7404580152671757	B4U62_13270	6796	8593	6791	1294	2273	1857	4240	2631	4034	2699	1964	2592	1897	1603	1318	1010	897	1292	862	527	649	566	89	134	187	725	543	60	312	281	360
0.7404580152671757	B4U62_13275	2699	2482	2139	2610	1893	1872	1061	872	1170	1512	1327	1192	1112	863	751	819	603	891	572	645	716	1034	254	213	382	988	829	63	14648	11103	18671
0.7404580152671757	B4U62_13280	2253	1971	1781	1976	1461	1418	913	698	908	1226	1115	1053	1032	781	629	714	578	826	570	676	679	1118	358	352	387	1119	724	78	8370	6079	9729
0.7404580152671757	B4U62_13285	2164	1942	1684	1420	1143	1025	894	622	911	1174	1083	906	909	641	559	679	577	815	508	542	562	983	264	258	310	885	682	63	4249	3195	4832
0.7404580152671757	B4U62_13290	28	30	19	13	18	18	70	36	65	644	563	616	1461	1435	1022	1433	1195	1884	1345	1191	1136	1120	46	37	44	83	103	6	30	41	77
0.8730048577376821	B4U62_13295	164	223	159	315	442	386	829	468	773	714	571	645	752	787	531	705	627	832	535	418	410	526	12	5	32	86	112	10	150	128	210
0.9935230164237798	B4U62_13300	1319	1606	1481	5715	7316	9597	9336	6553	6062	9270	9382	10722	5376	3216	3656	1995	1724	2196	2220	1114	1384	1003	11	6	52	689	805	14	58	50	68
0.7404580152671757	B4U62_13305	5357	6435	4578	2270	3722	3156	6364	3987	6419	7147	6414	7039	6012	5030	3797	4702	3336	5106	4521	2601	3075	2774	197	154	425	1436	1437	130	661	518	692
0.8730048577376821	B4U62_13310	4167	9072	3431	7963	8300	9404	22437	11500	17972	13826	11810	13099	11090	7910	6730	10715	8216	11925	996	330	682	2590	116	106	178	1028	1216	38	83	83	105
0.7404580152671757	B4U62_13315	491	919	444	841	853	945	2457	1397	2166	1113	931	1111	644	642	488	938	716	1252	99	24	54	300	8	14	31	97	104	1	15	19	29
0.8730048577376821	B4U62_13320	867	1549	756	1345	1489	1807	5177	2985	3471	1716	1449	2093	1073	1138	718	1312	1106	1781	147	43	88	388	12	10	41	158	164	3	9	14	32
0.9310663890816564	B4U62_13325	13	11	14	12	13	12	14	15	15	390	426	426	999	1037	763	892	829	1215	692	575	655	583	15	29	32	65	56	6	16	20	55
0.8730048577376821	B4U62_13330	2	2	5	2	3	2	2	3	3	122	169	175	348	447	265	269	327	418	234	213	215	184	5	8	13	15	48	6	3	6	11
0.9465648854961833	B4U62_13335	4	4	8	0	0	3	4	5	4	37	36	53	73	82	58	73	53	80	56	54	83	93	9	11	7	8	26	2	1	10	30
0.8945176960444137	B4U62_13340	2	2	0	1	2	0	3	3	1	20	28	17	33	38	39	38	44	65	28	43	36	87	10	7	9	28	24	0	9	5	22
0.91117279666898	B4U62_13345	1	1	0	4	4	3	1	1	5	11	10	11	13	28	21	29	18	29	16	23	17	51	11	3	11	18	29	0	20	24	51
0.8730048577376821	B4U62_13350	0	2	0	3	4	2	2	1	1	7	12	10	16	16	14	14	20	24	14	15	17	62	9	20	29	39	63	3	23	18	34
0.7404580152671757	B4U62_13355	1	1	1	1	0	2	2	3	2	2	7	5	11	10	6	13	15	18	6	12	12	30	8	10	21	33	45	2	13	18	45
0.7404580152671757	B4U62_13360	24	19	10	12	14	6	15	1	17	61	82	64	142	165	104	126	118	188	118	187	157	287	68	79	185	256	299	19	90	94	144
0.7404580152671757	B4U62_13365	31	38	21	32	33	25	29	25	42	148	147	169	331	298	242	253	236	357	264	423	313	604	110	95	288	458	571	30	430	363	520
0.7404580152671757	B4U62_13375	85	44	38	191	135	134	53	31	44	1663	1873	1062	4515	3262	2967	2229	2130	2668	2344	3134	3467	4268	375	357	2491	1993	5307	415	475	465	639
0.7404580152671757	B4U62_13380	282	114	94	546	308	280	143	123	116	5464	4999	3560	11813	11770	10320	5676	6175	8094	7478	6439	7430	21227	1428	1403	8624	7319	17982	865	4326	4032	4842
0.7404580152671757	B4U62_13385	1409	649	551	331	292	239	266	158	309	3935	4046	3019	16669	11228	10893	5417	4740	5377	4714	4382	5001	9411	1281	1309	4462	3742	7683	541	1201	1194	1140
0.7404580152671757	B4U62_13395	2134	917	612	2109	1565	1183	274	251	287	28397	27907	18209	73539	71541	62024	38798	38273	45091	39799	34083	41556	41919	2550	1730	9116	21443	57835	2995	3904	3251	4061
0.8730048577376821	B4U62_13400	1704	2103	1348	441	1077	806	2786	1984	2875	5386	6738	4883	5245	4557	4006	3825	3390	4433	3806	2205	2697	2187	126	68	448	960	1311	139	1889	1805	2880
0.7404580152671757	B4U62_13405	4044	5319	3158	3258	2940	3212	3874	2524	4668	5196	5163	4636	6556	5460	4341	4481	3498	4920	4641	3214	3938	3186	502	513	637	1529	1255	91	1286	987	1609
0.8945176960444137	B4U62_13410	2626	3249	2471	3412	4945	4583	4071	2922	4445	7473	9914	8330	8144	6809	6537	5973	5059	7247	7681	3227	4125	6226	541	544	1490	3952	4192	130	7337	5285	7453
0.7404580152671757	B4U62_13415	1260	1339	1121	620	669	625	1441	852	1038	1420	1423	1328	1614	1426	1181	990	789	1275	1190	800	933	1321	70	67	162	414	497	37	228	213	244
0.8730048577376821	B4U62_13420	2777	3246	2513	1255	1379	1385	2549	1693	2474	3237	3482	2986	3923	3482	2927	3062	2490	3757	3620	2468	2777	4141	225	232	491	1295	1232	100	552	450	668
0.7404580152671757	B4U62_13425	1157	1227	1036	436	433	427	841	556	819	1602	1670	1382	1845	1874	1443	1931	1733	2554	2151	1650	1712	2088	199	179	140	469	388	29	176	144	400
0.7404580152671757	B4U62_13430	15541	16642	13861	4889	6367	5453	11863	7639	10925	16122	15126	14483	17470	15522	12643	11464	9739	15393	11031	8443	9630	16843	1614	1413	3943	7751	10478	751	10367	7940	11977
0.7404580152671757	B4U62_13435	1345	1165	1068	909	794	713	885	654	996	2047	2118	1549	2340	2179	1896	1649	1462	2168	1857	1614	1844	2769	737	681	1179	1611	2715	119	1289	1028	1600
0.8730048577376821	B4U62_13440	219	221	199	108	131	114	198	131	161	250	327	247	227	246	207	169	200	226	179	131	160	184	53	54	46	120	147	8	69	59	126
0.7404580152671757	B4U62_13445	1376	1463	1144	876	1023	834	1285	920	1544	1748	1755	1568	1262	1258	1134	1143	963	1414	1379	792	913	985	280	319	230	450	615	34	4107	2988	5447
0.9310663890816564	B4U62_13450	429	464	410	154	241	214	363	209	360	305	301	343	522	480	449	406	442	566	315	246	305	348	22	19	124	135	144	53	17	11	28
0.7404580152671757	B4U62_13455	1758	1859	1546	742	931	788	1214	832	1387	1024	758	786	561	492	413	549	426	728	270	155	217	408	31	37	66	212	195	8	24	33	77
