Phylostratum	GeneID	MYC	INI	PRI	YFB	MFB
1	CC1G_00035T0	5162.5961347038065	5372.768796188721	5602.897173926384	6008.9288335579395	2658.0372162392496
1	CC1G_00036T0	2273.0751660292303	2869.1959504790207	2838.5185553233628	2805.0123836166763	3681.1638438631444
1	CC1G_00037T0	5509.722783105432	4254.347304468928	4989.885980960335	4858.949785076121	7474.236299972979
3	CC1G_00038T0	151.44628238098346	146.45531253884255	2905.1989610392143	7439.715651189022	2029.9529186281254
8	CC1G_00040T0	7050.8348941980885	9415.81486697707	8469.6960722076	7765.576905125267	6773.714200459558
10	CC1G_00041T0	22665.316748060315	19464.967942719577	17679.952108841808	16718.21681658339	16532.17022712039
6	CC1G_00042T0	5485.707257419048	6583.094864313904	6668.43690385101	6554.747793295395	6326.997656953355
14	CC1G_00044T0	500.8220458347654	958.663120411539	890.4384938173378	842.0168285750339	1030.0643070559984
10	CC1G_00045T0	445.0504935740535	1043.645765014182	835.1664133102691	1255.2904226820544	1150.8385651377823
2	CC1G_00048T0	11887.060887757947	8590.346378581002	8114.332954116043	8456.879817900186	11466.426256439261
1	CC1G_00049T0	7960.422375454248	8649.62410803496	8639.175078947645	9105.017294634003	7179.310123273368
1	CC1G_00050T0	8068.562273268518	8521.091039237259	8982.99463897918	10209.639500505034	9572.916132166518
1	CC1G_00051T0	9802.629801943638	6973.593942345029	7135.384072669853	7318.953699324307	12533.150452431924
2	CC1G_00052T0	1770.5024406342536	1991.9175301114487	2461.358433383361	2278.5870308470066	2562.2358109419065
1	CC1G_00053T0	6760.723616893665	6449.009802771157	6642.040040722686	6714.3093612077455	6912.886792431392
1	CC1G_00054T0	3806.213760958798	3297.6732033827725	3901.9994740545785	4330.731936769805	436.67216543297985
1	CC1G_00055T0	5812.699960523396	2948.919455486724	4136.36056275485	4495.694342100485	6530.394455057504
14	CC1G_00056T0	104.78066440967378	131.89007806472924	318.5494492464622	526.2452909942664	320.1560579998695
2	CC1G_00057T0	4490.011901567552	5302.518306063853	6607.297352453965	6283.798375978136	6169.053481165616
1	CC1G_00058T0	13264.827116243569	10534.644406649171	10551.668352557914	11475.240276006509	11398.314518579775
8	CC1G_00061T0	1460.7101182638387	1028.7268241044212	1158.247457270186	1028.3842519682075	1808.378339015282
8	CC1G_00062T0	53.16059627614957	73.28919142102869	46.502350917096614	50.85778621776721	95.26461525278765
1	CC1G_00063T0	6599.960305395445	3710.246899239384	2423.8040354036257	3165.6617212599913	8618.521831872122
8	CC1G_00064T0	41.06164240334701	220.9188289207888	197.79057048962255	102.83265490565131	399.0850077365532
1	CC1G_00065T0	4453.061719645237	2344.127010695019	2204.0785724040397	3098.4799436190287	1451.7363065579605
1	CC1G_00066T0	9799.27221286889	7723.148402710052	7987.487246338066	8762.817689395448	13115.01459503944
1	CC1G_00067T0	3184.118619363209	2846.407643937396	2941.431328926317	2740.6037506387215	4518.040618383081
1	CC1G_00068T0	2138.859781985834	3523.067151650339	2212.551424388286	1890.4241781299734	3611.0252396605847
1	CC1G_00069T0	140.7702255696804	476.53809848986356	1465.6473300595167	4045.306614274842	8069.326327471647
10	CC1G_00070T0	6770.102703521388	4015.1700129825094	5150.000993477738	4842.263604034041	6081.959194449079
8	CC1G_00071T0	1616.608317392335	3381.331927610991	7943.071606489943	9299.553550365816	3293.7424005980743
2	CC1G_00072T0	7736.924204775116	7609.857773510314	7926.8777652139825	6866.843217021261	6145.855035039276
1	CC1G_00073T0	1978.1391082953273	2900.630221496877	3179.483787803842	3491.6003886270028	1536.0128746093326
