Phylostratum	GeneID	Cleavage	Embryonic pharynx	Embryonic gut cavity	Gastrodermal cells	Muscle and neuron diff.	Organogenesis	Brain condensation	Organ maturation
1	FW_v1_tr_04549	5	6.33333333333333	10.2	8.0	11.375	5.4	13.7857142857143	5.18181818181818
1	FW_v1_tr_04550	3	8.0	12.6	8.33333333333333	15.25	5.6	14.4285714285714	8.45454545454546
1	FW_v1_tr_04551	2	7.0	11.2	8.16666666666667	8.5	7.1	12.9285714285714	5.09090909090909
1	FW_v1_tr_04553	11	13.6666666666667	30.4	42.8333333333333	56.125	34.4	55.2142857142857	48.1818181818182
1	FW_v1_tr_04554	1	2.33333333333333	0.8	3.83333333333333	3.625	1.3	14.0714285714286	9.72727272727273
1	FW_v1_tr_04555	7	837.666666666667	469.0	333.0	179.0	20.9	2.14285714285714	0.636363636363636
2	FW_v1_tr_04556	58	35.0	46.4	32.6666666666667	50.75	40.5	56.8571428571429	53.9090909090909
2	FW_v1_tr_04557	58	32.6666666666667	43.2	43.0	49.375	41.0	57.1428571428571	49.7272727272727
14	FW_v1_tr_04558	0	0.0	0.0	0.0	0.125	0.0	13.5714285714286	8.54545454545454
1	FW_v1_tr_04559	0	0.0	1.4	0.166666666666667	0.75	3.5	5.85714285714286	0.0
1	FW_v1_tr_04560	6	144.0	108.2	285.666666666667	241.375	161.5	173.785714285714	105.181818181818
14	FW_v1_tr_04561	204	136.333333333333	125.6	62.1666666666667	34.25	32.9	43.2857142857143	24.2727272727273
1	FW_v1_tr_04562	0	7.33333333333333	8.2	37.1666666666667	45.125	30.6	47.6428571428571	46.6363636363636
14	FW_v1_tr_04563	3	84.0	84.8	195.5	136.375	90.2	38.5714285714286	49.8181818181818
1	FW_v1_tr_04564	0	72.6666666666667	61.6	39.3333333333333	45.125	39.1	0.357142857142857	3.72727272727273
1	FW_v1_tr_04565	9	0.333333333333333	12.2	0.166666666666667	0.375	0.0	11.7142857142857	11.1818181818182
13	FW_v1_tr_04566	0	0.666666666666667	0.8	0.0	0.5	0.2	38.1428571428571	159.363636363636
1	FW_v1_tr_04567	0	18.6666666666667	21.8	36.6666666666667	27.375	24.3	23.0	23.0909090909091
2	FW_v1_tr_04568	1	1.33333333333333	2.8	12.3333333333333	21.0	18.0	47.4285714285714	42.4545454545455
14	FW_v1_tr_04569	1	1.33333333333333	8.0	9.16666666666667	9.375	11.3	10.4285714285714	5.36363636363636
14	FW_v1_tr_04570	0	0.0	0.0	0.0	0.0	2.4	3.64285714285714	7.63636363636364
14	FW_v1_tr_04571	2	1.33333333333333	7.6	8.0	7.875	9.1	9.42857142857143	4.72727272727273
2	FW_v1_tr_04572	4	1.33333333333333	19.2	9.16666666666667	22.5	12.4	46.2857142857143	34.3636363636364
2	FW_v1_tr_04573	0	0.0	1.4	5.0	8.875	3.7	5.28571428571429	2.45454545454545
1	FW_v1_tr_04574	3	5.0	5.4	14.0	7.625	10.5	12.9285714285714	8.18181818181818
1	FW_v1_tr_04575	12	35.6666666666667	41.6	102.5	137.5	97.9	170.714285714286	186.818181818182
14	FW_v1_tr_04577	9	6.0	8.2	5.66666666666667	7.5	6.8	14.5	6.81818181818182
10	FW_v1_tr_04578	0	8.66666666666667	8.2	23.6666666666667	17.125	16.9	11.7142857142857	7.72727272727273
2	FW_v1_tr_04579	0	1.33333333333333	4.6	10.0	16.625	12.0	19.3571428571429	19.7272727272727
2	FW_v1_tr_04580	0	2.33333333333333	5.0	10.3333333333333	15.0	10.8	20.7142857142857	19.3636363636364
1	FW_v1_tr_04581	5	6.66666666666667	7.4	3.83333333333333	5.875	10.5	5.78571428571429	8.72727272727273
1	FW_v1_tr_04582	5	5.66666666666667	12.2	44.6666666666667	74.375	58.0	84.2857142857143	69.0
1	FW_v1_tr_04583	0	0.0	1.6	5.33333333333333	7.25	9.1	23.9285714285714	12.8181818181818
2	FW_v1_tr_04584	2	27.3333333333333	23.4	150.166666666667	142.0	146.3	119.857142857143	107.272727272727
1	FW_v1_tr_04585	0	0.0	0.0	4.16666666666667	1.875	5.3	12.2857142857143	4.45454545454545
1	FW_v1_tr_04586	0	0.0	0.2	0.333333333333333	1.125	0.0	2.21428571428571	0.181818181818182
14	FW_v1_tr_04587	0	0.0	2.2	26.8333333333333	13.375	7.6	9.78571428571429	0.909090909090909
1	FW_v1_tr_04588	13	141.666666666667	259.4	666.5	736.125	434.2	155.0	100.454545454545
5	FW_v1_tr_04589	23	9.0	23.4	63.8333333333333	79.75	76.1	109.214285714286	72.0
14	FW_v1_tr_04590	0	1.66666666666667	0.8	24.5	47.25	31.0	146.142857142857	77.2727272727273
1	FW_v1_tr_04591	0	11.0	9.6	11.1666666666667	14.375	6.0	9.14285714285714	6.18181818181818
1	FW_v1_tr_04592	8	8.33333333333333	27.0	85.1666666666667	85.125	60.3	80.0	57.0
14	FW_v1_tr_04593	0	0.0	0.2	3.16666666666667	6.5	6.9	11.7142857142857	16.2727272727273
1	FW_v1_tr_04594	0	0.0	0.0	5.16666666666667	1.125	5.8	5.78571428571429	9.0
14	FW_v1_tr_04595	0	7.33333333333333	11.2	9.0	17.5	13.5	142.428571428571	122.818181818182
14	FW_v1_tr_04596	1	1.66666666666667	3.0	24.1666666666667	10.625	7.1	4.71428571428571	1.90909090909091
1	FW_v1_tr_04597	0	0.0	2.8	1.0	3.75	6.9	6.57142857142857	5.36363636363636
5	FW_v1_tr_04598	0	0.666666666666667	2.8	4.16666666666667	6.375	6.7	42.4285714285714	35.2727272727273
1	FW_v1_tr_04599	3	2.66666666666667	7.8	74.6666666666667	75.75	52.5	48.2142857142857	39.5454545454545
1	FW_v1_tr_04600	8	0.333333333333333	3.4	0.5	1.25	0.4	3.78571428571429	5.0
4	FW_v1_tr_04601	4	10.3333333333333	4.0	4.83333333333333	3.25	4.8	6.35714285714286	6.54545454545455
5	FW_v1_tr_04602	8	4.33333333333333	7.0	5.33333333333333	3.75	4.5	4.21428571428571	6.36363636363636
1	FW_v1_tr_04603	3	0.0	0.2	0.333333333333333	0.75	0.3	4.71428571428571	3.18181818181818
14	FW_v1_tr_04604	1	4.66666666666667	4.8	5.66666666666667	9.5	6.4	3.14285714285714	1.72727272727273
14	FW_v1_tr_04605	8	13.0	13.2	13.5	8.25	2.2	1.85714285714286	3.09090909090909
